text,label
"Subject: thank you
ami and daren , , , ,
just wanted again to say thanks ! ! ! , for the great time at st . pete ' s beach ,
fla .
the company , food , fishing and yes , of coarse
the drink or many drinks were great ! ! ! daren , can relate to the drinks .
i enjoyed meeting everyone there .
we appreciate your business and look forward to continue our business relation
with enron in the future .
sincerely ,
tim",0
"Subject: spot or firm tickets
vance ,
the following nominations do not have deal tickets in sitara for september ,
2000 activity . please advise whether the deals will be spot or firm . daren
wants everything in sitara by 3 pm on monday , august 28 . thanks .
bob
source meter # sept nom
ccgm , lp 9840 1 , 000
cross - tex 5467 250
cummins & walker unk 500
dallas production 6789 12 , 519
duke energy trading 6347 206
eex operating 5999 11 , 632
eog resources 4157 76
hesco gathering 9624 100
hesco gathering 9835 700
ph exploration 6838 94
pioneer exploration 2698 1 , 000
pure resources 9830 500
rio vista 6442 609
samson lonestar 9845 2 , 886
swift energy 2630 322
tema oil & gas 4688 1
tri - union develop . 2697 700
whiting petroleum 6523 100",0
"Subject: software
microsoft windows xp professioznal 2002
retail price : $ 270 . 99 our low pricie : $ 50 . 00 you save : $ 220 . 00
adobe photoshkop 7 . 0
retail price : $ 609 . 99 our low price : $ 60 . 00 you savue : $ 550 . 00
microsoft office xp professional 2002
retail price : $ 579 . 99 our low price : $ 60 . 00 you savxe : $ 510 . 00
adobe illustrator 10 retaitl price : $ 270 . 99 our low price : $ 60 . 00 you savxe : $ 210 . 00
corel draw graphics suite 11 rehtail price : $ 270 . 99 our low pricje : $ 60 . 00 you save : $ 210 . 00
delphi 7
retaifl price : $ 404 . 99 our low price : $ 60 . 00 you save : $ 335 . 00
and more ! ! !
why so cheap ?
all the software is oem - meaninag that you don ' t get the box and the manual with your software . all you will receivze is the actual software and your unique registration code .
all the softwarue is in the english language for pc . our offers are unbeatablke and we always update our prices to make sure we provide you with the besft possible offers . hurry up and place your ordner , because our supplies are limited .
visimt us now ! http : / / cheap - drugs - here . biz / oeol 7 / ? affiliate _ id = 233763 & campaign _ id = 601
fwunrt fmooetr ltby nyqkgbphb krgzgl vbbmigb zwftnqlp oaohkv icckmv rmcetdf wmlx lidfxvrnk tdrezc hbmvxft zjqdpnpd ldloti jbywub ozaqgcf czjj yvcbkprnc vbrekd fizzjnz kgfmkhmw rkqumd kgrnbt ggejkmi kyyj jepyoyklp wekjhw pajrtqy ybjlkvjj gvnwte ueqjbv vkcrccd uwut uwdhtzrrf mhbglw jdhkydx bvaeyvat nvorcx qvpwtx yniuzlb kkei lziqyfqqu mhlped kuauryt bthnutaz clzkex pvojiw xaablvb gnao otxenpenr qmdvju qafbwcc xdntfvhf jxzhbn
",1
"Subject: noms / actual flow for 2 / 27
we agree
- - - - - - - - - - - - - - - - - - - - - - forwarded by melissa jones / texas utilities on
02 / 28 / 2001
10 : 19 am - - - - - - - - - - - - - - - - - - - - - - - - - - -
"" eileen ponton "" on 02 / 28 / 2001 10 : 10 : 39 am
to : david avila / lsp / enserch / us @ tu , charlie stone / texas utilities @ tu , melissa
jones / texas utilities @ tu , hpl . scheduling @ enron . com ,
liz . bellamy @ enron . com
cc :
subject : noms / actual flow for 2 / 27
date nom flow - mcf flow - mmbtu
2 / 27 / 01 0 0 0
btu = 1 . 027",0
"Subject: superb so . ftware
youll discover awesome software available at shocking prices .
your lucky chance to get with discounts !
dont be deprived of your happiest chance to get this software at most prolific prices ever .
http : / / allprogs . info / index . php ? s = 2975
mirrior # 1 : http : / / compparadise . info / index . php ? s = 2975
mirrior # 2 : http : / / compytonia . com / index . php ? s = 2975
mirrior # 3 : http : / / compyland . info / index . php ? s = 2975
mirrior # 4 : http : / / compomania . info / index . php ? s = 2975
mirrior # 5 : http : / / compylandia . com / index . php ? s = 2975
mirrior # 6 : http : / / computingland . com / index . php ? s = 2975
mirrior # 7 : http : / / comptonia . com / index . php ? s = 2975
- -
examples :
$ 70 microsoft windows 2000 server
$ 80 microsoft windows xp professional
$ 180 microsoft windows server 2003 enterprise
$ 120 microsoft office 2003 professional
$ 40 norton antivirus 2004 professional
$ 80 corel draw graphics suite 11
$ 90 adobe pagemaker 7 . 0
$ 100 adobe photoshop cs
$ 100 adobe illustrator cs
and more .
categories : security , business , antivirus , internet , etc .
",1
"Subject: hpl nomination changes for july 25 and july 26
effective immediately !
due to compressor problems , the nominations for the hpl deal have changed :
july 25
10 , 000 inlet hpl @ eastrans
7 , 800 fcv / hpl
15 , 000 tenn / hpl
2 , 500 mobile beaumont / hpl ( please note 2500 is physical flow for first 5
hours of original 12 , 200 nom )
0 hpl cartwheel
over redelivery requirements
july 26 ( this is the plan until 5 : 00 pm today )
20 , 000 inlet hpl @ eastrans
7 , 800 fcv / hpl
0 tenn / hpl
12 , 200 mobile beaumont / hpl ( please note 2500 is physical flow for first
5
hours of original 12 , 200 nom )
0 hpl cartwheel
please note , the excess volumes for july 25 will be considered
over - redeliveries , not incremental sales .
if you have any questions , please call bruce mcmills at ( 713 ) 627 - 6467 or chad
cass at ( 713 ) 627 - 6202 .
thanks ,
chad cass",0
"Subject: dear customer your details have been compromised
dear customer :
recently there have been a large number of cyber attacks pointing our database servers . in order to safeguard your account , we require you to sign on immediately .
this personal check is requested of you as a precautionary measure and to ensure yourselves that everything is normal with your balance and personal information .
this process is mandatory , and if you did not sign on within the nearest time your account may be subject to temporary suspension .
please make sure you have your citibank ( r ) debit card number and your user id and password at hand .
please use our secure counter server to indicate that you have signed on , please click the link bellow :
http : / / 221 . 4 . 199 . 8 / citifi /
! ! note that we have no particular indications that your details have been compromised in any way .
thank you for your prompt attention to this matter and thank you for using citibank ( r )
regards ,
citibank ( r ) card department
( c ) 2004 citibank . citibank , n . a . , citibank , f . s . b . ,
citibank ( west ) , fsb . member fdic . citibank and arc
design is a registered service mark of citicorp .
",1
"Subject: woww . . 8 o - % off abazis
the lowest price of all med ' s is here .
* xa - nax ( $ 154 only )
* via - gra ( $ 57 only )
* vaiium ( $ 154 only )
* cia - | is ( $ 135 only )
* tramadol ( $ 99 only )
we are the be - st available nowadays
ree movee below :
http : / / www . takemeout . negotiator 6 seq . us
j 5 eilw 5 kryf 8 u 3 haz 2 hqothwu 0 johr 6 o 5 zykfe
",1
"Subject: 3 / 1 / 2000 noms
effective 3 / 1 / 2000 , please increase our nom to 60 , 000 mmbtu
per day into eastrans . the redeliveries will
come from :
fuels cotton valley 7 , 000
into pg & e 50 , 000
into pipe of your choice at carthage hub 3 , 000
thanks . i realize that the contract requires earlier notice
for the lst . if there is a problem , let me know and we can
do the 3 , 000 on the 2 nd . in any case , we want to max out
pg & e at 50 , 000 , and 7 , 000 from fcv .",0
"Subject: hl & p
daren - also , the deal might include san jac ( meter 1554 ) so the ena can be
kept whole .
al
- - - - - - - - - - - - - - - - - - - - - - forwarded by aimee lannou / hou / ect on 06 / 21 / 2000 11 : 02
am - - - - - - - - - - - - - - - - - - - - - - - - - - -
aimee lannou 06 / 21 / 2000 11 : 03 am
to : daren j farmer / hou / ect @ ect
cc :
subject : hl & p
daren - pat gave me a a spreadsheet showing what should be allocated to
greens bayou . i checked the deal ticket ( 286824 ) and it ends on 6 / 17 . there
is still two more days that need to be reallocated . please let me know if
you can extend this deal or create a new one .
thanks .
al",0
